,status,spc_latin,spc_common,health,count,diameter
136,Alive,Cornus mas,Cornelian cherry,Good,881,4.622020431328036
137,Alive,Cornus mas,Cornelian cherry,Poor,48,3.5208333333333335
138,Alive,Corylus colurna,Turkish hazelnut,Fair,65,5.8
139,Alive,Corylus colurna,Turkish hazelnut,Good,223,4.739910313901345
140,Alive,Corylus colurna,Turkish hazelnut,Poor,29,3.8275862068965516
141,Alive,Cotinus coggygria,smoketree,Fair,10,5.7
142,Alive,Cotinus coggygria,smoketree,Good,47,5.466666666666667
143,Alive,Cotinus coggygria,smoketree,Poor,1,5.0
144,Alive,Crataegus,hawthorn,Fair,470,3.923404255319149
145,Alive,Crataegus,hawthorn,Good,2325,4.037037037037037
146,Alive,Crataegus,hawthorn,Poor,193,3.948186528497409
147,Alive,Crataegus crusgalli var. inermis,cockspur hawthorn,Fair,53,4.716981132075472
148,Alive,Crataegus crusgalli var. inermis,cockspur hawthorn,Good,265,3.8150943396226413
149,Alive,Crataegus crusgalli var. inermis,cockspur hawthorn,Poor,23,3.869565217391304
150,Alive,Eucommia ulmoides,hardy rubber tree,Fair,113,3.495575221238938
151,Alive,Eucommia ulmoides,hardy rubber tree,Good,740,3.735135135135135
152,Alive,Eucommia ulmoides,hardy rubber tree,Poor,62,2.7096774193548385
153,Alive,Fagus grandifolia,American beech,Fair,38,5.105263157894737
154,Alive,Fagus grandifolia,American beech,Good,214,6.822429906542056
155,Alive,Fagus grandifolia,American beech,Poor,21,5.095238095238095
156,Alive,Fagus sylvatica,European beech,Fair,22,3.909090909090909
157,Alive,Fagus sylvatica,European beech,Good,99,5.393939393939394
158,Alive,Fagus sylvatica,European beech,Poor,4,4.75
159,Alive,Fraxinus,ash,Fair,392,12.188775510204081
160,Alive,Fraxinus,ash,Good,2115,14.109692671394798
161,Alive,Fraxinus,ash,Poor,102,10.617647058823529
162,Alive,Fraxinus americana,white ash,Fair,166,11.536144578313253
163,Alive,Fraxinus americana,white ash,Good,897,13.096989966555183
164,Alive,Fraxinus americana,white ash,Poor,58,9.362068965517242
165,Alive,Fraxinus pennsylvanica,green ash,Fair,2599,12.298191612158522
166,Alive,Fraxinus pennsylvanica,green ash,Good,13223,13.913010590015128
167,Alive,Fraxinus pennsylvanica,green ash,Poor,428,10.654205607476635
168,Alive,Fraxinus pennsylvanica,green ash,,1,16.0
169,Alive,Ginkgo biloba,ginkgo,Fair,2780,7.933812949640288
170,Alive,Ginkgo biloba,ginkgo,Good,17126,8.82512703697214
171,Alive,Ginkgo biloba,ginkgo,Poor,1118,7.326475849731664
172,Alive,Gleditsia triacanthos var. inermis,honeylocust,Fair,8572,9.511025551277564
173,Alive,Gleditsia triacanthos var. inermis,honeylocust,Good,54501,10.393228736581337
174,Alive,Gleditsia triacanthos var. inermis,honeylocust,Poor,1190,6.969722455845248
175,Alive,Gymnocladus dioicus,Kentucky coffeetree,Fair,393,4.4910941475826975
176,Alive,Gymnocladus dioicus,Kentucky coffeetree,Good,2835,4.767548500881834
177,Alive,Gymnocladus dioicus,Kentucky coffeetree,Poor,136,3.7279411764705883
178,Alive,Halesia diptera,two-winged silverbell,Fair,56,4.696428571428571
179,Alive,Halesia diptera,two-winged silverbell,Good,158,4.449367088607595
180,Alive,Halesia diptera,two-winged silverbell,Poor,7,2.7142857142857144
181,Alive,Ilex,holly,Fair,14,5.571428571428571
182,Alive,Ilex,holly,Good,118,5.914529914529915
183,Alive,Ilex,holly,Poor,6,2.8333333333333335
184,Alive,Juglans nigra,black walnut,Fair,49,10.081632653061224
185,Alive,Juglans nigra,black walnut,Good,234,11.431623931623932
186,Alive,Juglans nigra,black walnut,Poor,12,8.75
187,Alive,Juniperus virginiana,eastern redcedar,Fair,116,5.852173913043479
188,Alive,Juniperus virginiana,eastern redcedar,Good,946,4.398936170212766
189,Alive,Juniperus virginiana,eastern redcedar,Poor,39,6.0
190,Alive,Koelreuteria paniculata,golden raintree,Fair,500,4.544
191,Alive,Koelreuteria paniculata,golden raintree,Good,3099,5.183989670755326
192,Alive,Koelreuteria paniculata,golden raintree,Poor,120,3.8666666666666667
193,Alive,Lagerstroemia,crepe myrtle,Fair,53,4.096153846153846
194,Alive,Lagerstroemia,crepe myrtle,Good,371,4.291891891891892
195,Alive,Lagerstroemia,crepe myrtle,Poor,18,3.9444444444444446
196,Alive,Larix laricina,American larch,Fair,8,11.375
197,Alive,Larix laricina,American larch,Good,37,8.378378378378379
198,Alive,Larix laricina,American larch,Poor,1,4.0
199,Alive,Liquidambar styraciflua,sweetgum,Fair,1271,10.022029897718332
200,Alive,Liquidambar styraciflua,sweetgum,Good,9083,11.352604338729215
